id,stock_code,stock_name,oss_url,is_key_polluters,full_name,人工结果,自动化和人工对比结果
52198,300307,慈星股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/慈星股份/1206101929.PDF,不适用,宁波慈星股份有限公司,不适用,相同
51307,002264,新 华 都,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/新 华 都/1206059605.PDF,不适用,新华都购物广场股份有限公司,不适用,相同
51770,300335,迪森股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/迪森股份/1206092339.PDF,适用,广州迪森热能技术股份有限公司,不适用,不相同
44520,000727,华东科技,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/华东科技/1205966437.PDF,适用,南京华东电子信息科技股份有限公司,适用,相同
52521,002112,三变科技,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/三变科技/1206114701.PDF,适用,三变科技股份有限公司,适用,相同
51817,300442,普丽盛,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/普丽盛/1206090592.PDF,不适用,上海普丽盛包装股份有限公司,不适用,相同
44627,000065,北方国际,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/北方国际/1205982362.PDF,不适用,北方国际合作股份有限公司,不适用,相同
52056,000681,视觉中国,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/视觉中国/1206107154.PDF,不适用,视觉(中国)文化发展股份有限公司,不适用,相同
51302,002250,联化科技,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/联化科技/1206059819.PDF,适用,联化科技股份有限公司,适用,相同
51872,300674,宇信科技,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/宇信科技/1206088618.PDF,不适用,北京宇信科技集团股份有限公司,不适用,相同
43645,600328,兰太实业,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/兰太实业/1205900129.PDF,不适用,内蒙古兰太实业股份有限公司,适用,不相同
